category,title,description,resource,region,statusWord,message
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-east-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-east-2,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-west-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-west-2,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ca-central-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-central-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-west-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-west-2,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-west-3,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-north-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-south-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-northeast-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-northeast-2,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-southeast-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-southeast-2,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-northeast-3,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-south-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,sa-east-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-east-1,OK,Region is not enabled
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,me-south-1,OK,Region is not enabled
