category,title,description,resource,region,statusWord,message,compliance
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-east-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ca-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-north-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.,PCI: PCI requires certificates to be kept up to date and rotated prior to expiry.
